ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
8630,Setswana,CaLMQA,Text,Machine Translation,"The CaLMQA dataset is primarily used to support research in machine translation, question answering, and information retrieval, particularly for under-resourced languages like Setswana. It enhances the performance of machine translation systems, evaluates question-answering and information retrieval systems, and supports cross-lingual transfer learning. The dataset is also utilized for terminology translation, instruction tuning, and topic classification across multiple languages, including Setswana, providing a rich resource for linguistic tasks and improving the handling of low-resource languages.",https://doi.org/10.48550/arXiv.2309.07445 (2023),https://huggingface.co/datasets/shanearora/CaLMQA,https://doi.org/10.18653/v1/2025.naacl-long.338 (2024)
8632,Setswana,Daily News Dikgang,Text,Parsing and Tagging,"The Daily News Dikgang dataset is extensively used in Setswana language research, primarily for training and testing various natural language processing (NLP) models. It contributes to the development of the NCHLT Setswana RoBERTa model by providing a large, diverse corpus of Setswana text, enhancing the model's robustness and performance. The dataset is also utilized for tasks such as automatic speech recognition, text-to-speech synthesis, news classification, named entity recognition, lemmatization, and part-of-speech tagging, focusing on improving the accuracy, quality, and linguistic diversity of these systems.",https://www.semanticscholar.org/paper/1a7715e8d41a228f8fc35f7e3f2580988eea9b24 (2014),https://huggingface.co/datasets/dsfsi/daily-news-dikgang,https://doi.org/10.18653/v1/2025.naacl-long.338 (2024)
8638,Setswana,JW300 monolingual dataset for Setswana,Text,Language Modeling,"The JW300 monolingual dataset for Setswana is used as an input corpus for Setswana language processing, specifically to support language modeling and other NLP tasks. It provides monolingual text that facilitates the development and evaluation of algorithms and models tailored for the Setswana language. This dataset enables researchers to enhance the performance and accuracy of NLP applications in Setswana.",https://www.semanticscholar.org/paper/7a0640db17b461b75df21f737154ad0f6d43e9de (2020),,https://doi.org/10.48550/arXiv.2310.09141 (2023)
8641,Setswana,Lwazi ASR corpus,Unknown,Not specified,"The dataset 'Lwazi' is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific characteristics. Therefore, there is insufficient evidence to provide a comprehensive description of how this dataset is actually used in research.",https://doi.org/10.21437/Interspeech.2009-760 (2009),https://huggingface.co/datasets/dsfsi/lwazi-asr-corpus-compressed,https://www.semanticscholar.org/paper/33776a7747eb157c2dd70b1283d83f0533569ce9 (2014)
8643,Setswana,Marothodi,Text,Language Modeling,"The Marothodi dataset is used to train Pula models, specifically focusing on the Setswana language. An altered version of the dataset is combined with another dataset to total approximately 2.3 billion tokens. This combination enhances the training data, enabling more robust and accurate language modeling for Setswana.",https://doi.org/10.1145/3394486.3406703 (2020),https://huggingface.co/datasets/OxxoCodes/Marothodi,https://doi.org/10.18653/v1/2025.naacl-long.338 (2024)
8646,Setswana,MMLU-tsn,Text,Evaluation and Development,"The MMLU-tsn dataset is used to evaluate and develop multitask language understanding in Setswana, focusing on domain-specific vocabulary, complex tasks, and problem-solving skills. It translates benchmarks like MMLU and GSM8K to assess models' performance in linguistic accuracy, numerical reasoning, and logical thinking. The dataset enables researchers to measure models' capabilities in handling complex, contextually appropriate tasks and solving arithmetic problems in Setswana.",https://www.semanticscholar.org/paper/65906e6027246ae9e4ecd18d6e019a24505c842e (2020),https://huggingface.co/datasets/OxxoCodes/mmlu-tsn,https://doi.org/10.18653/v1/2025.naacl-long.338 (2024)
8647,Setswana,NCHLT corpus,Text,Corpus Building,"The NCHLT dataset is used to provide high-quality Setswana language data for the SetsText project, comprising over eight million tokens from diverse sources such as government documents, books, educational materials, and online content. It serves as a foundational resource, enhancing the quality and breadth of Setswana language datasets, though specific methodological details are not provided.; The NCHLT corpus is used to train and evaluate the Setswana language dataset, focusing on verifying trends and the final selection of corpus metadata. This dataset enables researchers to refine and validate the metadata associated with the Setswana language, ensuring its accuracy and relevance for linguistic studies.","https://doi.org/10.48550/arXiv.2310.09141 (2023), https://www.semanticscholar.org/paper/d77cdbb1c4a7e1707c32a1c6db2b1e7ddf351483 (2013)",https://huggingface.co/datasets/nwu-ctext/nchlt,https://doi.org/10.48550/arXiv.2408.02239 (2024); https://www.semanticscholar.org/paper/33776a7747eb157c2dd70b1283d83f0533569ce9 (2014)
8655,Setswana,NCHLT speech corpus of the South African languages,Speech,Speech Recognition/Understanding,"The Setswana dataset is used as a reference for carefully enunciated speech in the GlobalPhone corpus, contrasting with the more natural, conversational speech found in the Fisher corpus. This comparison helps researchers analyze differences in speech patterns and pronunciation clarity, aiding in the development and evaluation of speech recognition systems.",https://doi.org/10.21437/ICSLP.1992-277 (1992),https://sites.google.com/site/nchltspeechcorpus,https://www.semanticscholar.org/paper/33776a7747eb157c2dd70b1283d83f0533569ce9 (2014)
8648,Setswana,No Language Left Behin (NLLB),Text,Machine Translation,"The NLLB dataset is used to enhance cross-lingual capabilities in natural language processing. It supports the creation of parallel corpora and multilingual models, facilitating entity recognition, sentence alignment, and machine translation. The dataset's multilingual nature, including potential Setswana content, enables researchers to develop and evaluate cross-lingual transfer learning and multilingual NLP systems.",https://doi.org/10.48550/arXiv.2207.04672 (2022),https://github.com/facebookresearch/fairseq/tree/nllb,https://doi.org/10.48550/arXiv.2408.02239 (2024)
8650,Setswana,Puo-Data,Text,Language Modeling,"Puo-Data is used as the largest curated Setswana text collection to train and evaluate PuoBERTa, a language model specifically developed for Setswana. This dataset enables researchers to focus on the development and improvement of natural language processing capabilities for the Setswana language, enhancing the performance and accuracy of language models in this domain.",https://doi.org/10.18653/v1/P19-1310 (2019),https://huggingface.co/datasets/dsfsi/PuoData,https://doi.org/10.18653/v1/2025.naacl-long.338 (2024)
8652,Setswana,SABC News,Text,Machine Translation,"The SABC News dataset is used to train and evaluate machine translation models, specifically for translating between Setswana and English within the news domain. This dataset enables researchers to focus on improving translation accuracy and fluency in news-specific contexts, leveraging its news domain data to enhance model performance.",https://www.semanticscholar.org/paper/24ac368d08765dfad920ceefb79fba7bfe81d83c (2021),https://github.com/masakhane-io/lafand-mt,https://doi.org/10.48550/arXiv.2205.02022 (2022)
8653,Setswana,SADiLaR NER dataset,Text,Named Entity Recognition,"The SADiLaR NER dataset is used to evaluate the performance of a CNN model for Setswana Named Entity Recognition, focusing on metrics like F1-Score. It is employed to compare the effectiveness of the CNN model against baseline models, enabling researchers to assess improvements in recognizing named entities in the Setswana language.",https://doi.org/10.59200/icarti.2023.024 (2023),https://thesai.org/Publications/ViewPaper?Volume=16&Issue=2&Code=ijacsa&SerialNo=49,https://doi.org/10.14569/ijacsa.2025.0160249 (2025)
8654,Setswana,SAfriSenti,Text,Sentiment Analysis,"The SAfriSenti dataset is used to develop sentiment analysis models for South African under-resourced languages, focusing on applications in AI for Social Good. Researchers employ this dataset to explore and enhance AI capabilities in social contexts, leveraging its annotated sentiment data to build more inclusive and effective natural language processing systems.",https://www.semanticscholar.org/paper/004849a0e4f8a5de90157c72571763fcd25674ab (2022),,https://doi.org/10.1371/journal.pone.0325102 (2025)
8658,Setswana,"Setswana Universal Declaration of Human Rights (Nations, 1998)",Text,Machine Translation,"The 'Setswana Universal Declaration of Human Rights (Nations, 1998)' dataset is primarily used for training and evaluating machine translation models, particularly for low-resource and multilingual settings, including Setswana. It supports tasks such as long-form question answering, topic classification, and parallel text translation. The dataset enhances model performance by providing a rich resource for under-resourced African languages, improving translation quality and linguistic feature analysis. It is also used for multilingual pre-training, OCR, and reformatting to support digital analysis and educational content.",,https://www.ohchr.org/en/human-rights/universal-declaration/translations/southern-sothosothosesothosutusesutu,https://doi.org/10.18653/v1/2025.naacl-long.338 (2024)
8657,Setswana,Setswana-OPUS,Text,Training and Evaluation,"The Setswana-OPUS dataset is used to gather monolingual input corpora for Setswana, specifically for training and evaluation purposes in research projects starting in 2020. This dataset enables researchers to develop and assess natural language processing models tailored for the Setswana language, focusing on improving their performance and accuracy.",https://www.semanticscholar.org/paper/7a0640db17b461b75df21f737154ad0f6d43e9de (2020),https://opus.nlpl.eu/,https://doi.org/10.48550/arXiv.2310.09141 (2023)
8656,Setswana,South African Cabinet Speeches,Text,Language Modeling and Analysis,"The Setswana Cabinet Speeches dataset is used to enhance linguistic resources for Setswana by providing a rich text corpus for language modeling and analysis. It is also utilized to study official government communications in Setswana, focusing on formal language use and policy discourse. This dataset enables researchers to analyze and model the formal and structured nature of Setswana as used in governmental contexts.",https://doi.org/10.48550/arXiv.2303.03750 (2023),https://huggingface.co/datasets/dsfsi/gov-za-monolingual,https://doi.org/10.48550/arXiv.2310.09141 (2023)
8659,Setswana,United States Peace Corps’ Intro to Spoken Setswana,Speech,Machine Translation,"The United States Peace Corps’ Intro to Spoken Setswana dataset is used as a foundational reference for spoken Setswana, providing language lessons and cultural context. It is employed to validate translations of human rights concepts, ensuring accuracy and cultural relevance. Additionally, the dataset is used to train and evaluate machine translation models, focusing on practical language skills and cultural nuances. This enables researchers to enhance the precision and applicability of Setswana translations and language models.",https://www.semanticscholar.org/paper/2edbe6cb5a4bed33ee703079241b58146dd1d327 (1987),https://files.peacecorps.gov/multimedia/audio/languagelessons/botswana/Bw_Setswana_Language_Lessons.pdf,https://doi.org/10.48550/arXiv.2408.02239 (2024)
a,Setswana,Vuk’uzenzele,Text,Not specified,The dataset contains editions from the South African government magazine Vuk'uzenzele. Data was scraped from PDFs that have been placed in the data/raw folder. The PDFS were obtained from the Vuk'uzenzele website.,https://doi.org/10.18653/v1/2023.rail-1.3,https://github.com/dsfsi/vukuzenzele-nlp,https://www.semanticscholar.org/paper/67b359bb74f77e63fbd828a8ee7c93886e37e776 (2024)
8660,Setswana,Vuk’zenzele Setswana Corpora,Text,Language Modeling and Analysis,"The Vuk’zenzele Setswana Corpora is utilized to analyze linguistic patterns in official communications, particularly in political discourse, and to enhance linguistic resources for the Setswana language. This rich text corpus supports language modeling and analysis, providing valuable data for understanding and improving the use of Setswana in formal contexts.",https://doi.org/10.48550/arXiv.2303.03750 (2023),https://huggingface.co/datasets/dsfsi/vukuzenzele-monolingual,https://doi.org/10.48550/arXiv.2310.09141 (2023)
8661,Setswana,Wikipedia Corpus (XML Wikipedia dumps: 11 September 2017),Text,Word Embeddings,"The Wikipedia Corpus (XML Wikipedia dumps: 11 September 2017) is used to train word embeddings for multiple languages, including Setswana, in a 300-dimensional space. These embeddings are utilized to initialize word embeddings for various languages, excluding isiNdebele, enhancing natural language processing tasks by providing pre-trained linguistic representations.",https://www.semanticscholar.org/paper/0fe73c19513dfd17372d8ef58da0d0149725832c (2018),https://dumps.wikimedia.org/,https://doi.org/10.3390/info11010041 (2020)
8662,Setswana,WordSim,Text,Lexicon/Dictionary,"The WordSim dataset is used to evaluate the effectiveness of cross-lingual embeddings for Setswana and Sepedi, focusing on intrinsic evaluations of lexical and semantic similarity. It provides word pairs with human-rated similarities, enabling researchers to assess word embeddings in semantic similarity and relatedness tasks. This dataset supports the development and evaluation of models that capture semantic relationships between words in these languages.",https://www.semanticscholar.org/paper/fcf816d9e7b804f4201e4cbf5437e62d683c8a8e (2018),https://zenodo.org/record/5673974,https://doi.org/10.55492/dhasa.v3i03.3822 (2021)
a,Setswana,ZA-gov-multilingual,Text,Not specified,The dataset contains editions from the South African government magazine Vuk'uzenzele. Data was scraped from PDFs that have been placed in the data/raw folder. The PDFS were obtained from the Vuk'uzenzele website.,https://doi.org/10.18653/v1/2023.rail-1.3,https://github.com/dsfsi/gov-za-multilingual,https://www.semanticscholar.org/paper/67b359bb74f77e63fbd828a8ee7c93886e37e776 (2024)
8666,Sindhi,"Corpus (Rahman, 2010)",Text,Parsing and Tagging,"The Corpus (Rahman, 2010) is utilized for enhancing Sindhi language processing capabilities through downstream NLP tasks. It provides 100K tokens to improve language technology tools and contains 4.1M tokens for developing specific tasks such as POS tagging and named-entity recognition. This dataset enables researchers to build and refine models for Sindhi, addressing the need for robust language processing resources in this domain.",https://doi.org/10.18653/v1/N16-2008 (2016),,https://doi.org/10.48550/arXiv.2408.15720 (2024)
8667,Sindhi,database for Sindhi language,Text,OCR,"The Sindhi language dataset is used to store and process Sindh image text, supporting OCR systems for recognizing both handwritten and printed Sindhi letters. It is essential for developing and evaluating OCR systems, particularly addressing the lack of multi-font and multi-size printed Sindhi character recognition systems. This dataset enables researchers to improve the accuracy and robustness of Sindhi script OCR technologies.",https://doi.org/10.1109/ICETAS.2018.8629110 (2018),,https://www.semanticscholar.org/paper/15f224b4725a363f11f40474a851dc250cda9638 (2019)
8668,Sindhi,Emotion-Pak Corpus,Unknown,Not specified,"The Emotion-Pak Corpus is mentioned in research citations but lacks detailed descriptions of its usage. Therefore, there is no specific evidence to describe its application, methodology, research questions, or enabling capabilities in any particular research area.",https://doi.org/10.48084/ETASR.3193 (2019),https://zenodo.org/records/3566598,https://doi.org/10.1109/CISCE52179.2021.9445883 (2021)
8669,Sindhi,isolated handwritten Sindhi characters,Text,Character Recognition,"The isolated handwritten Sindhi characters dataset is used to train and evaluate deep residual neural networks for recognizing these characters. This approach achieves 94% accuracy, addressing the specific research question of improving recognition rates for isolated handwritten Sindhi characters. The dataset's focus on individual characters is crucial for this task, enabling precise evaluation of model performance in this domain.",https://doi.org/10.17485/ijst/v13i25.914 (2020),https://indjst.org/articles/deep-learning-based-isolated-handwritten-sindhi-character-recognition,https://doi.org/10.1109/FIT60620.2023.00033 (2023)
8670,Sindhi,lexicon database,Unknown,Lexicon/Dictionary,"The 'lexicon database' dataset is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific characteristics. Therefore, there is insufficient evidence to provide a comprehensive synthesis of how this dataset is actually used in research.",,https://www.sindhinlp.com/,https://doi.org/10.1109/INMIC48123.2019.9022770 (2019)
8672,Sindhi,POS annotated corpus of 37162 words,Text,Not specified,"The 'POS annotated corpus of 37162 words' is mentioned in research citations but lacks detailed descriptions of its usage. No specific methodologies, research questions, or applications are provided. Its role in enabling research is unclear from the given information. The dataset's characteristics and relevance to any particular research area are not specified.",https://www.semanticscholar.org/paper/887d8d4bae488941d9a3a26ec39122abc84fad79 (2010),,https://www.semanticscholar.org/paper/a6fbd88a5991c8a767c9d14a0089772f9f4c48f7 (2016)
8673,Sindhi,POS tagged corpus of Sindhi-Devanagari,Text,Parsing and Tagging,"The POS tagged corpus of Sindhi-Devanagari is used to compare the size and utility of Sindhi-Devanagari and Sindhi-Roman corpora, focusing on part-of-speech tagging, token count, and sentence numbers. It is also employed to train and evaluate part-of-speech tagging models for Sindhi in both Devanagari and Roman scripts, emphasizing linguistic accuracy and coverage. This dataset facilitates research by providing a standardized resource for linguistic analysis and model evaluation.",https://doi.org/10.13140/RG.2.2.35194.03524 (2019),,https://doi.org/10.26615/issn.2603-2821.2021_004 (2021)
8665,Sindhi,Qaida,Unknown,Not specified,"The dataset '18 thousand ligatures across 256 distinct fonts' is mentioned in the citation context but lacks detailed usage descriptions. Therefore, there is no specific evidence to describe its application, methodology, research questions, or enabling capabilities in any particular research area.",https://www.semanticscholar.org/paper/d38e613ae12e9073b4e8feefae360a6ea8d0ad44 (2020),https://github.com/AtiqueUrRehman/qaida,https://doi.org/10.1109/FIT60620.2023.00033 (2023)
8674,Sindhi,SDSEG,Text,Parsing and Tagging,"The SDSEG dataset is used to evaluate model performance in cross-lingual word segmentation and morpheme segmentation tasks, focusing on precision, recall, and F1-score metrics. It serves as a benchmark for sequence labelling approaches, enabling researchers to assess and compare the effectiveness of different models in these linguistic tasks.; The SDSEG dataset is used to evaluate precision, recall, and F1-scores for cross-lingual word and morpheme segmentation tasks. It enables researchers to assess the performance of segmentation models across different languages, providing a standardized benchmark for comparing experimental results. The dataset's focus on morphological analysis supports the development and refinement of natural language processing techniques.",https://www.semanticscholar.org/paper/867fd4ef5ed039761ac7ece131bc42daac5280a5 (2017),,https://doi.org/10.1109/ACCESS.2024.3507382 (2020)
8676,Sindhi,Sindhi News Headlines Dataset (SNHD),Text,Parsing and Tagging,"The Sindhi news headline classification dataset is used to evaluate advanced models in Sindhi language processing, particularly for part-of-speech tagging. It consists of 2,800 headlines categorized into five topics: Entertainment, Sports, Science and Technology, International, and National. This dataset enables researchers to assess model performance in classifying Sindhi headlines, contributing to the development of more accurate natural language processing techniques for the Sindhi language.",https://doi.org/10.17485/ijst/2019/v12i33/146130 (2019),,https://doi.org/10.1109/ACCESS.2025.3576853 (2025)
8677,Sindhi,Sindhi printed dataset,Text,Character Recognition,"The Sindhi printed dataset is used to train and evaluate character recognition models, focusing on the effectiveness of different thinning algorithms. This dataset enables researchers to analyze and compare various thinning techniques in character recognition tasks, contributing to the development of more accurate and efficient recognition systems.",https://doi.org/10.5815/ijitcs.2019.06.02 (2019),,
8679,Sindhi,Sindhi text sentiment analysis dataset,Text,Sentiment Analysis,"The Sindhi text sentiment analysis dataset is used for evaluating sentiment classification models in the Sindhi language. It consists of 19 attributes and 6841 records, enabling researchers to assess the performance of various sentiment analysis techniques specifically tailored for Sindhi text. This dataset supports the development and refinement of models that can accurately classify sentiments in Sindhi language data.",https://doi.org/10.14569/IJACSA.2017.081038 (2017),,https://doi.org/10.1016/j.dib.2018.05.062 (2018)
8680,Sindhi,Sindhi Tweets Dataset,Text,Parsing and Tagging,"The Sindhi Tweets Dataset is utilized for syntactic parsing and part-of-speech tagging, providing annotated data for training and evaluating NLP models. It serves as a benchmark for comparing POS tagging models in Sindhi. Additionally, the dataset is employed for sentiment analysis of Sindhi tweets using supervised machine learning techniques, enabling the classification of sentiments in social media content and the analysis of syntactic and morphological structures in annotated text.",https://doi.org/10.1109/INMIC48123.2019.9022770 (2019),,https://doi.org/10.1109/ACCESS.2025.3576853 (2025)
8681,Sindhi,SiNER,Text,Named Entity Recognition,"The SiNER dataset is used to evaluate and analyze Named Entity Recognition (NER) performance in the Sindhi language. It focuses on assessing the effectiveness of a Conditional Random Fields (CRF)-based approach for sequence labeling, specifically tailored for Sindhi language processing. This dataset enables researchers to measure and improve the performance of NER models in the context of Sindhi, contributing to advancements in Sindhi language technology.",https://doi.org/10.1561/2200000013 (2010),https://github.com/AliWazir/SiNER-dataset,https://www.semanticscholar.org/paper/35c6bcc3a86023f95b6be40aa6eddf8df52c027d (2020)
8684,Sindhi,unlabeled Sindhi text corpus,Text,Unsupervised Learning,"The 'unlabeled Sindhi text corpus' is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or applications involving this dataset. Its role and impact in research are not clearly defined based on the provided evidence.; The unlabeled Sindhi text corpus is used in research to develop and evaluate unsupervised models for Sindhi language processing. This dataset enables researchers to focus on the performance of unsupervised methods, providing a resource to test and refine algorithms without labeled data. The corpus supports the exploration of natural language processing techniques specific to the Sindhi language, enhancing the understanding and capabilities of computational models in this linguistic context.",,,https://doi.org/10.1109/ACCESS.2024.3507382 (2020)
8685,Sindhi,Urdu-Sindhi SER,Speech,Speech Recognition/Understanding,"The Urdu-Sindhi SER dataset is used to train and evaluate models for speech emotion recognition in both Sindhi and Urdu, particularly focusing on low-resource languages. It contains 701 audio files for Sindhi and 734 for Urdu, enabling researchers to develop and test algorithms that can accurately recognize emotions in spoken language. This dataset supports the advancement of speech processing techniques in underrepresented linguistic contexts.",https://doi.org/10.14569/ijacsa.2020.01104104 (2020),,https://doi.org/10.1109/CISCE52179.2021.9445883 (2021)
8686,Sindhi,Wiki-dumps (2016),Text,Parsing and Tagging,"The Wiki-dumps (2016) dataset is utilized for enhancing Sindhi language processing capabilities through downstream NLP tasks. It provides 100K tokens and contains 4.1M tokens, which are used to develop language technology tools such as POS tagging and named-entity recognition. This dataset enables researchers to improve the accuracy and efficiency of Sindhi language technology applications.",https://doi.org/10.32350/LLR/11/04 (2015),https://dumps.wikimedia.org/,https://doi.org/10.48550/arXiv.2408.15720 (2024)
8817,Somali,CC100-Somali Dataset,Text,Information Retrieval,"The CC100-Somali Dataset is used to enhance multilingual language models and corpora, specifically enriching the Somali subset with diverse and representative content. It integrates web-crawled, news, and literary texts to improve the quality and coverage of Somali language data. This dataset supports cross-lingual representation learning, language processing, and evaluation, particularly in cross-lingual information retrieval tasks. Its large scale and varied content make it valuable for building comprehensive and contextually rich Somali language corpora.",https://doi.org/10.18653/v1/2020.acl-main.747 (2019),https://github.com/facebookresearch/cc_net,https://doi.org/10.48550/arXiv.2503.18117 (2025)
8823,Somali,CIRAL dataset (Somali subset),Text,Information Retrieval,"The Somali Books dataset is used to enhance multilingual language models and corpora, specifically by increasing the diversity and volume of Somali language data. It integrates news articles, web-crawled content, and literary texts to improve the representativeness and linguistic variety of the Somali subset. This dataset is crucial for evaluating cross-lingual information retrieval (CLIR) performance, focusing on the effectiveness of Somali language processing in these tasks.",https://doi.org/10.1145/3626772.3657884 (2024),https://github.com/ciralproject/ciral,https://doi.org/10.48550/arXiv.2503.18117 (2025)
8818,Somali,IARPA MATERIAL,Text,Information Retrieval,"The IARPA MATERIAL dataset is used to collect documents from blogs, news, and topical texts in six less-resourced languages, facilitating cross-language information retrieval research. This dataset supports methodologies focused on retrieving and analyzing information across different languages, enhancing the ability to access and understand content in less-resourced linguistic contexts.",https://www.semanticscholar.org/paper/de02a7e9c5e0eeb2cab4d7dd810e5e573327a2f5 (2020),,https://doi.org/10.1145/3626772.3657884 (2024)
8824,Somali,LORELEI language packs,Text,Named Entity Recognition,"The SomaliST dataset is used to train and evaluate named entity recognition (NER) models specifically for the Somali language, with a focus on identifying entities in government-related texts. This dataset enables researchers to develop and test NER systems that can accurately recognize and categorize named entities such as organizations, locations, and individuals in Somali-language documents, enhancing the processing and analysis of government-related content.",https://www.semanticscholar.org/paper/5a0cc05753097721d2c6397d7a7ad0ce4acf4569 (2016),https://dss.princeton.edu/catalog/resource4916,https://doi.org/10.1162/tacl_a_00416 (2021)
8820,Somali,Masakhane News Dataset (the Somali subset),Text,Information Retrieval,"The Masakhane News Dataset (Somali subset) is used to enhance the quality and coverage of Somali language data in multilingual corpora. It integrates news articles and web-crawled data to increase linguistic diversity and representativeness. The dataset is also utilized to evaluate cross-lingual information retrieval (CLIR) performance, focusing on the effectiveness of Somali language processing in these tasks.",https://doi.org/10.18653/v1/2021.mrl-1.11 (2021),https://github.com/masakhane-io/masakhane-news,https://doi.org/10.48550/arXiv.2503.18117 (2025)
8825,Somali,WCS,Text,Linguistic Analysis,"The WCS dataset is used in linguistic research to classify and compare Somali color terms with universal color categories. It provides a standard set of 11 color categories, enabling researchers to analyze the distribution and deployment of Somali color names, such as buluug, in relation to English and other languages. This facilitates comparative linguistic analysis and the examination of universal patterns in color naming.",https://doi.org/10.1073/pnas.0607708103 (2006),https://linguistics.berkeley.edu/wcs/data.html,https://doi.org/10.1167/16.5.14 (2016)
8827,Southern Kurdish,audio samples for Southern Kurdish,Speech,Speech Recognition/Understanding,"The dataset of audio samples for Southern Kurdish is used to collect 11 hours of audio data, primarily from radio and television content, for spoken dialect recognition. This dataset enables researchers to focus on the specific characteristics of Southern Kurdish dialects, enhancing the accuracy of speech recognition systems tailored to this language.",https://doi.org/10.1007/978-3-030-87802-3_5 (2021),,https://doi.org/10.48550/arXiv.2304.01319 (2023)
8828,Southern Kurdish,Pewan corpus,Text,Linguistic Analysis,"The Pewan corpus is used to analyze linguistic patterns and statistical properties, specifically focusing on the rank-size distribution for Northern and Central Kurdish. Researchers employ statistical methods to examine the frequency and distribution of linguistic elements, enabling insights into the structural characteristics of these dialects. This dataset facilitates a quantitative approach to understanding Kurdish language dynamics.",https://www.semanticscholar.org/paper/0657ee32d949a1f8bb98362f4e539c8db03d52c5 (2020),https://dl.dropbox.com/u/10883132/Pewan.zip,https://doi.org/10.48550/arXiv.2304.01319 (2023)
8829,Southern Kurdish,Shaqlawa,Text,Linguistic Analysis,"The Shaqlawa dataset is used to study Southern Kurdish folklore and linguistic patterns, specifically focusing on traditional stories and dialect variations. Researchers employ qualitative analysis to explore the cultural and linguistic nuances within these texts, enabling a deeper understanding of Southern Kurdish oral traditions and dialectal differences.",,,https://doi.org/10.1515/flin-2024-2049 (2024)
8836,Southern Sotho,NCHLT corpus,Unknown,Not specified,"The NCHLT corpus is mentioned in research citations but lacks detailed descriptions of its usage, methodology, or specific research applications. There is no explicit information on how it is employed in studies or its relevance to particular research questions or characteristics.",https://www.semanticscholar.org/paper/d77cdbb1c4a7e1707c32a1c6db2b1e7ddf351483 (2013),https://sites.google.com/site/nchltspeechcorpus/,https://www.semanticscholar.org/paper/33776a7747eb157c2dd70b1283d83f0533569ce9 (2014)
8842,Southern Sotho,Southern Sotho vowels dataset,Speech,Phonetic Analysis,"The Southern Sotho vowels dataset is used to evaluate eight normalization procedures on vowel formants, aiming to reduce speaker-specific variability while retaining age and ethnicity information. Comprising 4,434 vowel tokens from twelve speakers balanced by gender, age, and locality, the dataset enables researchers to systematically assess the effectiveness of these procedures in phonetic analysis.",,,https://doi.org/10.2989/16073614.2014.925221 (2014)
9629,Sudanese Arabic,Sudanese Arabic Dataset,Text,Sentiment Analysis,"The Sudanese Arabic Dataset is used to train machine learning classifiers such as Naïve Bayes, KNN, and SVM for sentiment analysis. It focuses on analyzing social media comments and messages, enabling researchers to understand public sentiment in online platforms. The dataset's relevance lies in its application to Arabic dialects, specifically Sudanese Arabic, enhancing the accuracy of sentiment classification in this linguistic context.",https://doi.org/10.1109/FiCloud.2014.100 (2014),,https://doi.org/10.1109/ICCCEEE.2018.8515862 (2018)
9631,Sudanese Arabic,Sudanese Arabic sentiment dataset,Text,Sentiment Analysis,"The Sudanese Arabic sentiment dataset is used to evaluate sentiment analysis models, focusing on three-class classification. Researchers employ this dataset to report accuracy scores, assessing model performance in distinguishing positive, negative, and neutral sentiments. This dataset enables the development and validation of sentiment analysis techniques tailored for Sudanese Arabic, contributing to the broader field of natural language processing.",,https://github.com/mustafa20999/Sudanese-Arabic-Sentiment-Datasets,https://doi.org/10.1177/01655515231188341 (2022)
9633,Swahili,AfriCLIRMatrix,Text,Information Retrieval,"The AfriCLIRMatrix dataset is used as a foundational resource for cross-lingual information retrieval (CLIR) research, providing bilingual and multilingual data. It serves as a starting point for developing and testing CLIR systems, enabling researchers to explore methodologies for improving information retrieval across languages, potentially including Swahili. The dataset's multilingual nature supports the development of more inclusive and effective CLIR solutions.",https://doi.org/10.1561/1500000019 (2009),https://huggingface.co/datasets/castorini/africlirmatrix,https://doi.org/10.18653/v1/2022.emnlp-main.597 (2022)
9636,Swahili,AFROMT,Text,Machine Translation,"The AFROMT dataset is used to construct monolingual corpora for African languages, including Swahili, primarily for training machine translation models. It provides large-scale, web-crawled data, enabling researchers to derive additional monolingual datasets. This supports the development and improvement of machine translation systems for under-resourced languages.",https://doi.org/10.18653/v1/2021.emnlp-main.99 (2021),https://github.com/machelreid/afromt,https://doi.org/10.18653/v1/2021.emnlp-main.99 (2021)
9637,Swahili,annotated Swahili dataset,Text,Parsing and Tagging,"The annotated Swahili dataset is used for morphological annotation of Swahili text, employing a two-level morphological dictionary to tag linguistic features. This methodology supports research focused on understanding and processing the morphological structure of Swahili, enabling detailed analysis of linguistic elements within the language.",,,https://doi.org/10.1145/3445975 (2021)
9642,Swahili,CLIRMatrix,Text,Information Retrieval,"The CLIRMatrix dataset is primarily used for cross-lingual information retrieval (CLIR) research, focusing on enhancing and evaluating CLIR systems for multiple African languages, including Swahili. It supports the development and testing of baseline models (e.g., BM25, mDPR, Hybrid) and language-specific analyzers, facilitating the analysis of language distribution and coverage. The dataset includes queries and documents mined from Wikipedia, enabling researchers to address the resource scarcity in less-resourced languages and improve multilingual research capabilities.",https://doi.org/10.18653/v1/2020.emnlp-main.340 (2020),https://huggingface.co/datasets/SEACrowd/clir_matrix,https://doi.org/10.18653/v1/2022.emnlp-main.597 (2022)
